"Time (s) Run #1","Current (A) Run #1","Voltage (V) Run #1","ElectronCurrent (10^-10 A) Run #1"
0.000,2.150E-13,0.1,0.00
0.050,2.061E-13,0.1,0.00
0.100,1.979E-13,0.1,0.00
0.150,2.054E-13,0.1,0.00
0.200,1.974E-13,0.1,0.00
0.250,1.976E-13,0.1,0.00
0.300,1.937E-13,0.1,0.00
0.350,2.056E-13,0.1,0.00
0.400,2.008E-13,0.1,0.00
0.450,2.084E-13,0.1,0.00
0.500,2.164E-13,0.1,0.00
0.550,2.115E-13,0.1,0.00
0.600,2.179E-13,0.1,0.00
0.650,2.234E-13,0.1,0.00
0.700,2.235E-13,0.1,0.00
0.750,2.175E-13,0.1,0.00
0.800,2.122E-13,0.1,0.00
0.850,2.163E-13,0.1,0.00
0.900,2.218E-13,0.1,0.00
0.950,2.158E-13,0.1,0.00
1.000,2.192E-13,0.1,0.00
1.050,2.303E-13,0.1,0.00
1.100,2.271E-13,0.1,0.00
1.150,2.104E-13,0.1,0.00
1.200,1.903E-13,0.1,0.00
1.250,1.884E-13,0.1,0.00
1.300,1.814E-13,0.2,0.00
1.350,1.748E-13,0.2,0.00
1.400,1.652E-13,0.2,0.00
1.450,1.726E-13,0.2,0.00
1.500,1.722E-13,0.2,0.00
1.550,1.755E-13,0.3,0.00
1.600,1.648E-13,0.3,0.00
1.650,1.786E-13,0.3,0.00
1.700,1.737E-13,0.3,0.00
1.750,1.840E-13,0.3,0.00
1.800,1.786E-13,0.4,0.00
1.850,1.831E-13,0.4,0.00
1.900,1.791E-13,0.4,0.00
1.950,1.702E-13,0.4,0.00
2.000,1.898E-13,0.4,0.00
2.050,1.863E-13,0.4,0.00
2.100,1.846E-13,0.4,0.00
2.150,1.899E-13,0.4,0.00
2.200,1.848E-13,0.4,0.00
2.250,1.847E-13,0.4,0.00
2.300,1.829E-13,0.4,0.00
2.350,1.942E-13,0.4,0.00
2.400,1.927E-13,0.4,0.00
2.450,1.967E-13,0.4,0.00
2.500,1.975E-13,0.4,0.00
2.550,1.879E-13,0.4,0.00
2.600,1.846E-13,0.4,0.00
2.650,1.965E-13,0.4,0.00
2.700,1.901E-13,0.4,0.00
2.750,1.877E-13,0.4,0.00
2.800,1.903E-13,0.4,0.00
2.850,1.902E-13,0.4,0.00
2.900,1.807E-13,0.4,0.00
2.950,1.896E-13,0.4,0.00
3.000,1.836E-13,0.5,0.00
3.050,1.862E-13,0.5,0.00
3.100,1.893E-13,0.5,0.00
3.150,1.987E-13,0.5,0.00
3.200,1.891E-13,0.5,0.00
3.250,1.947E-13,0.5,0.00
3.300,1.902E-13,0.5,0.00
3.350,1.891E-13,0.5,0.00
3.400,1.823E-13,0.5,0.00
3.450,1.802E-13,0.5,0.00
3.500,1.893E-13,0.5,0.00
3.550,1.866E-13,0.6,0.00
3.600,1.893E-13,0.6,0.00
3.650,1.859E-13,0.6,0.00
3.700,1.833E-13,0.6,0.00
3.750,1.913E-13,0.6,0.00
3.800,1.926E-13,0.6,0.00
3.850,1.912E-13,0.6,0.00
3.900,1.842E-13,0.6,0.00
3.950,1.926E-13,0.6,0.00
4.000,1.837E-13,0.6,0.00
4.050,1.798E-13,0.6,0.00
4.100,1.965E-13,0.6,0.00
4.150,1.890E-13,0.7,0.00
4.200,1.725E-13,0.7,0.00
4.250,1.764E-13,0.7,0.00
4.300,1.761E-13,0.7,0.00
4.350,1.862E-13,0.7,0.00
4.400,1.807E-13,0.7,0.00
4.450,1.768E-13,0.7,0.00
4.500,1.719E-13,0.7,0.00
4.550,1.815E-13,0.7,0.00
4.600,1.827E-13,0.7,0.00
4.650,1.882E-13,0.7,0.00
4.700,1.813E-13,0.7,0.00
4.750,1.777E-13,0.7,0.00
4.800,1.852E-13,0.7,0.00
4.850,2.000E-13,0.7,0.00
4.900,1.805E-13,0.7,0.00
4.950,1.771E-13,0.7,0.00
5.000,1.820E-13,0.7,0.00
5.050,1.886E-13,0.7,0.00
5.100,1.724E-13,0.8,0.00
5.150,1.802E-13,0.8,0.00
5.200,1.757E-13,0.8,0.00
5.250,1.741E-13,0.8,0.00
5.300,1.678E-13,0.8,0.00
5.350,1.587E-13,0.8,0.00
5.400,1.697E-13,0.8,0.00
5.450,1.572E-13,0.8,0.00
5.500,1.644E-13,0.8,0.00
5.550,1.685E-13,0.8,0.00
5.600,1.588E-13,0.8,0.00
5.650,1.716E-13,0.8,0.00
5.700,1.665E-13,0.8,0.00
5.750,1.765E-13,0.8,0.00
5.800,1.707E-13,0.8,0.00
5.850,1.715E-13,0.8,0.00
5.900,1.792E-13,0.9,0.00
5.950,1.780E-13,0.9,0.00
6.000,1.696E-13,0.9,0.00
6.050,1.741E-13,0.9,0.00
6.100,1.729E-13,0.9,0.00
6.150,1.793E-13,0.9,0.00
6.200,1.666E-13,0.9,0.00
6.250,1.736E-13,0.9,0.00
6.300,1.741E-13,0.9,0.00
6.350,1.705E-13,0.9,0.00
6.400,1.862E-13,0.9,0.00
6.450,1.720E-13,0.9,0.00
6.500,1.752E-13,0.9,0.00
6.550,1.727E-13,0.9,0.00
6.600,1.740E-13,0.9,0.00
6.650,1.726E-13,0.9,0.00
6.700,1.700E-13,0.9,0.00
6.750,1.741E-13,1.0,0.00
6.800,1.804E-13,1.0,0.00
6.850,1.711E-13,1.0,0.00
6.900,1.693E-13,1.0,0.00
6.950,1.716E-13,1.0,0.00
7.000,1.809E-13,1.0,0.00
7.050,1.724E-13,1.0,0.00
7.100,1.682E-13,1.0,0.00
7.150,1.819E-13,1.0,0.00
7.200,1.694E-13,1.0,0.00
7.250,1.785E-13,1.0,0.00
7.300,1.761E-13,1.0,0.00
7.350,1.782E-13,1.0,0.00
7.400,1.840E-13,1.0,0.00
7.450,1.698E-13,1.0,0.00
7.500,1.729E-13,1.0,0.00
7.550,1.720E-13,1.0,0.00
7.600,1.633E-13,1.0,0.00
7.650,1.642E-13,1.0,0.00
7.700,1.687E-13,1.0,0.00
7.750,1.637E-13,1.0,0.00
7.800,1.736E-13,1.0,0.00
7.850,1.659E-13,1.0,0.00
7.900,1.747E-13,1.0,0.00
7.950,1.759E-13,1.0,0.00
8.000,1.815E-13,1.0,0.00
8.050,1.752E-13,1.0,0.00
8.100,1.709E-13,1.0,0.00
8.150,1.735E-13,1.0,0.00
8.200,1.716E-13,1.0,0.00
8.250,1.798E-13,1.0,0.00
8.300,1.735E-13,1.0,0.00
8.350,1.655E-13,1.0,0.00
8.400,1.610E-13,1.1,0.00
8.450,1.526E-13,1.1,0.00
8.500,1.497E-13,1.1,0.00
8.550,1.494E-13,1.1,0.00
8.600,1.465E-13,1.1,0.00
8.650,1.377E-13,1.1,0.00
8.700,1.414E-13,1.1,0.00
8.750,1.425E-13,1.1,0.00
8.800,1.558E-13,1.1,0.00
8.850,1.335E-13,1.2,0.00
8.900,1.378E-13,1.2,0.00
8.950,1.420E-13,1.2,0.00
9.000,1.543E-13,1.2,0.00
9.050,1.619E-13,1.2,0.00
9.100,1.570E-13,1.2,0.00
9.150,1.442E-13,1.2,0.00
9.200,1.555E-13,1.2,0.00
9.250,1.577E-13,1.2,0.00
9.300,1.755E-13,1.2,0.00
9.350,1.755E-13,1.2,0.00
9.400,1.747E-13,1.2,0.00
9.450,1.754E-13,1.2,0.00
9.500,1.799E-13,1.2,0.00
9.550,1.621E-13,1.2,0.00
9.600,1.674E-13,1.2,0.00
9.650,1.807E-13,1.2,0.00
9.700,1.766E-13,1.3,0.00
9.750,1.812E-13,1.3,0.00
9.800,1.755E-13,1.3,0.00
9.850,1.818E-13,1.3,0.00
9.900,1.721E-13,1.3,0.00
9.950,1.810E-13,1.3,0.00
10.000,1.677E-13,1.3,0.00
10.050,1.814E-13,1.3,0.00
10.100,1.805E-13,1.3,0.00
10.150,1.718E-13,1.3,0.00
10.200,1.769E-13,1.3,0.00
10.250,1.884E-13,1.3,0.00
10.300,1.710E-13,1.3,0.00
10.350,1.844E-13,1.3,0.00
10.400,1.832E-13,1.3,0.00
10.450,1.689E-13,1.3,0.00
10.500,1.742E-13,1.3,0.00
10.550,1.759E-13,1.3,0.00
10.600,1.909E-13,1.3,0.00
10.650,1.904E-13,1.3,0.00
10.700,1.829E-13,1.3,0.00
10.750,1.830E-13,1.3,0.00
10.800,1.844E-13,1.3,0.00
10.850,1.932E-13,1.4,0.00
10.900,1.827E-13,1.4,0.00
