Time (s) Run #2,"Current, Ch A (A) Run #2","Voltage, Ch B (V) Run #2","Voltage, Ch C (V) Run #2"
0,1.36E-14,-0.3,-0.002
0.05,2.03E-14,-0.3,-0.002
0.1,2.60E-14,-0.3,-0.002
0.15,2.64E-14,-0.3,-0.003
0.2,1.54E-14,-0.3,-0.002
0.25,2.93E-14,-0.3,-0.002
0.3,2.19E-14,-0.3,-0.002
0.35,1.77E-14,-0.3,-0.002
0.4,2.97E-14,-0.3,-0.002
0.45,2.12E-14,-0.3,-0.002
0.5,1.65E-14,-0.3,-0.002
0.55,1.54E-14,-0.3,-0.002
0.6,2.38E-14,-0.3,-0.002
0.65,1.58E-14,-0.3,-0.002
0.7,3.44E-14,-0.3,-0.002
0.75,2.48E-14,-0.3,-0.002
0.8,2.71E-14,-0.3,-0.002
0.85,3.00E-14,-0.3,-0.003
0.9,2.86E-14,-0.3,-0.002
0.95,3.96E-14,-0.3,-0.002
1,3.50E-14,-0.3,-0.002
1.05,3.97E-14,-0.3,-0.002
1.1,3.63E-14,-0.3,-0.002
1.15,2.92E-14,-0.3,-0.002
1.2,3.11E-14,-0.3,-0.002
1.25,2.59E-14,-0.3,-0.002
1.3,2.47E-14,-0.3,-0.002
1.35,3.65E-14,-0.3,-0.002
1.4,3.39E-14,-0.3,-0.002
1.45,3.58E-14,-0.3,-0.002
1.5,2.76E-14,-0.3,-0.003
1.55,3.74E-14,-0.3,-0.002
1.6,4.63E-14,-0.3,-0.002
1.65,4.72E-14,-0.3,-0.002
1.7,3.96E-14,-0.3,-0.002
1.75,5.32E-14,-0.3,-0.002
1.8,3.21E-14,-0.3,-0.003
1.85,4.53E-14,-0.3,-0.002
1.9,3.82E-14,-0.3,-0.002
1.95,4.76E-14,-0.3,-0.002
2,3.94E-14,-0.3,-0.002
2.05,2.58E-14,-0.3,-0.002
2.1,3.31E-14,-0.3,-0.002
2.15,3.22E-14,-0.3,-0.002
2.2,1.73E-14,-0.3,-0.002
2.25,3.38E-14,-0.3,-0.003
2.3,1.79E-14,-0.3,-0.002
2.35,6.96E-15,-0.2,-0.002
2.4,2.04E-14,-0.1,-0.002
2.45,7.20E-15,0,-0.002
2.5,1.23E-14,0,-0.002
2.55,1.79E-14,0.1,-0.002
2.6,1.62E-14,0.1,-0.002
2.65,2.58E-14,0.2,-0.002
2.7,1.81E-14,0.3,-0.002
2.75,1.39E-14,0.4,-0.002
2.8,9.16E-15,0.5,-0.002
2.85,1.25E-14,0.6,-0.002
2.9,9.89E-15,0.6,-0.002
2.95,5.62E-15,0.7,-0.002
3,6.47E-15,0.8,-0.002
3.05,5.01E-15,0.8,-0.002
3.1,8.30E-15,0.9,-0.002
3.15,1.03E-14,1,-0.002
3.2,7.45E-15,1,-0.002
3.25,3.17E-15,1.1,-0.002
3.3,5.37E-15,1.1,-0.002
3.35,2.93E-15,1.2,-0.002
3.4,7.57E-15,1.2,-0.002
3.45,4.40E-15,1.2,-0.002
3.5,1.50E-14,1.3,-0.002
3.55,1.16E-14,1.3,-0.002
3.6,2.27E-14,1.4,-0.002
3.65,5.62E-15,1.4,-0.002
3.7,1.31E-14,1.5,-0.002
3.75,1.07E-14,1.5,-0.002
3.8,2.52E-14,1.5,-0.002
3.85,1.32E-14,1.6,-0.002
3.9,1.78E-14,1.6,-0.002
3.95,1.31E-14,1.6,-0.002
4,1.79E-14,1.7,-0.002
4.05,2.49E-14,1.7,-0.002
4.1,2.56E-14,1.7,-0.002
4.15,1.88E-14,1.8,-0.002
4.2,2.65E-14,1.8,-0.002
4.25,3.27E-14,1.8,-0.002
4.3,3.64E-14,1.8,-0.002
4.35,4.02E-14,1.8,-0.002
4.4,3.14E-14,1.9,-0.002
4.45,2.70E-14,1.9,-0.002
4.5,2.22E-14,1.9,-0.002
4.55,1.75E-14,2,-0.002
4.6,3.28E-14,2,-0.002
4.65,2.76E-14,2.1,-0.002
4.7,2.42E-14,2.2,-0.002
4.75,3.06E-14,2.2,-0.002
4.8,2.19E-14,2.3,-0.002
4.85,2.16E-14,2.4,-0.002
4.9,2.17E-14,2.4,-0.002
4.95,1.66E-14,2.5,-0.003
5,8.55E-15,2.6,-0.002
5.05,3.28E-14,2.7,-0.002
5.1,1.01E-14,2.8,-0.002
5.15,1.65E-14,2.8,-0.002
5.2,2.20E-14,2.9,-0.003
5.25,2.56E-14,3,-0.002
5.3,3.04E-14,3,-0.002
5.35,1.95E-14,3.1,-0.002
5.4,2.47E-14,3.1,-0.002
5.45,3.00E-14,3.1,-0.002
